Pit,Material,HD (km),Month,SF,Cycle (hrs),TPNOH (t/h),Cycle (min),Fixed (min),Travel (min)
MRM,Ore,1.7,Mar,1.027,0.334494749,1114.519738,20.06968494,7.9672,12.10248494
MRM,Ore,1.7,Apr,0.958,0.334494749,1039.639638,20.06968494,7.9729,12.09678494
MRM,Ore,1.7,May,0.958,0.334494749,1039.639638,20.06968494,7.5509,12.51878494
MRM,Ore,1.7,Jun,0.958,0.334494749,1039.639638,20.06968494,7.74,12.32968494
MRM,Ore,1.7,Jul,0.958,0.334494749,1039.639638,20.06968494,7.7183,12.35138494
MRM,Ore,1.7,Aug,0.958,0.334494749,1039.639638,20.06968494,7.8197,12.24998494
MRM,Ore,1.7,Sep,0.958,0.334494749,1039.639638,20.06968494,7.734,12.33568494
MRM,Ore,1.7,Oct,0.987,0.334494749,1071.110985,20.06968494,7.185,12.88468494
MRM,Ore,1.7,Nov,1.027,0.334494749,1114.519738,20.06968494,7.2715,12.79818494
MRM,Ore,1.7,Dec,1.07,0.334494749,1161.184147,20.06968494,7.2057,12.86398494
MRM,Ore,1.8,Jan,1.07,0.340885394,1139.415202,20.45312363,7.9099,12.54322363
MRM,Ore,1.8,Feb,1.07,0.340885394,1139.415202,20.45312363,8.3314,12.12172363
MRM,Ore,1.8,Mar,1.027,0.340885394,1093.625619,20.45312363,7.9672,12.48592363
MRM,Ore,1.8,Apr,0.958,0.340885394,1020.149312,20.45312363,7.9729,12.48022363
MRM,Ore,1.8,May,0.958,0.340885394,1020.149312,20.45312363,7.5509,12.90222363
MRM,Ore,1.8,Jun,0.958,0.340885394,1020.149312,20.45312363,7.74,12.71312363
MRM,Ore,1.8,Jul,0.958,0.340885394,1020.149312,20.45312363,7.7183,12.73482363
MRM,Ore,1.8,Aug,0.958,0.340885394,1020.149312,20.45312363,7.8197,12.63342363
MRM,Ore,1.8,Sep,0.958,0.340885394,1020.149312,20.45312363,7.734,12.71912363
MRM,Ore,1.8,Oct,0.987,0.340885394,1051.030659,20.45312363,7.185,13.26812363
MRM,Ore,1.8,Nov,1.027,0.340885394,1093.625619,20.45312363,7.2715,13.18162363
MRM,Ore,1.8,Dec,1.07,0.340885394,1139.415202,20.45312363,7.2057,13.24742363
MRM,Ore,1.9,Jan,1.07,0.347042756,1119.199271,20.82256538,7.9099,12.91266538
MRM,Ore,1.9,Feb,1.07,0.347042756,1119.199271,20.82256538,8.3314,12.49116538
MRM,Ore,1.9,Mar,1.027,0.347042756,1074.222104,20.82256538,7.9672,12.85536538
MRM,Ore,1.9,Apr,0.958,0.347042756,1002.049441,20.82256538,7.9729,12.84966538
MRM,Ore,1.9,May,0.958,0.347042756,1002.049441,20.82256538,7.5509,13.27166538
MRM,Ore,1.9,Jun,0.958,0.347042756,1002.049441,20.82256538,7.74,13.08256538
MRM,Ore,1.9,Jul,0.958,0.347042756,1002.049441,20.82256538,7.7183,13.10426538
MRM,Ore,1.9,Aug,0.958,0.347042756,1002.049441,20.82256538,7.8197,13.00286538
MRM,Ore,1.9,Sep,0.958,0.347042756,1002.049441,20.82256538,7.734,13.08856538
MRM,Ore,1.9,Oct,0.987,0.347042756,1032.382879,20.82256538,7.185,13.63756538
MRM,Ore,1.9,Nov,1.027,0.347042756,1074.222104,20.82256538,7.2715,13.55106538
MRM,Ore,1.9,Dec,1.07,0.347042756,1119.199271,20.82256538,7.2057,13.61686538
MRM,Ore,2,Jan,1.07,0.352986989,1100.352171,21.17921937,7.9099,13.26931937
MRM,Ore,2,Feb,1.07,0.352986989,1100.352171,21.17921937,8.3314,12.84781937
MRM,Ore,2,Mar,1.027,0.352986989,1056.13241,21.17921937,7.9672,13.21201937
MRM,Ore,2,Apr,0.958,0.352986989,985.1751209,21.17921937,7.9729,13.20631937
MRM,Ore,2,May,0.958,0.352986989,985.1751209,21.17921937,7.5509,13.62831937
MRM,Ore,2,Jun,0.958,0.352986989,985.1751209,21.17921937,7.74,13.43921937
MRM,Ore,2,Jul,0.958,0.352986989,985.1751209,21.17921937,7.7183,13.46091937
MRM,Ore,2,Aug,0.958,0.352986989,985.1751209,21.17921937,7.8197,13.35951937
MRM,Ore,2,Sep,0.958,0.352986989,985.1751209,21.17921937,7.734,13.44521937
MRM,Ore,2,Oct,0.987,0.352986989,1014.99775,21.17921937,7.185,13.99421937
MRM,Ore,2,Nov,1.027,0.352986989,1056.13241,21.17921937,7.2715,13.90771937
MRM,Ore,2,Dec,1.07,0.352986989,1100.352171,21.17921937,7.2057,13.97351937
MRM,Ore,2.1,Jan,1.07,0.358735598,1082.719423,21.52413591,7.9099,13.61423591
MRM,Ore,2.1,Feb,1.07,0.358735598,1082.719423,21.52413591,8.3314,13.19273591
MRM,Ore,2.1,Mar,1.027,0.358735598,1039.208268,21.52413591,7.9672,13.55693591
MRM,Ore,2.1,Apr,0.958,0.358735598,969.3880438,21.52413591,7.9729,13.55123591
MRM,Ore,2.1,May,0.958,0.358735598,969.3880438,21.52413591,7.5509,13.97323591
MRM,Ore,2.1,Jun,0.958,0.358735598,969.3880438,21.52413591,7.74,13.78413591
MRM,Ore,2.1,Jul,0.958,0.358735598,969.3880438,21.52413591,7.7183,13.80583591
MRM,Ore,2.1,Aug,0.958,0.358735598,969.3880438,21.52413591,7.8197,13.70443591
MRM,Ore,2.1,Sep,0.958,0.358735598,969.3880438,21.52413591,7.734,13.79013591
MRM,Ore,2.1,Oct,0.987,0.358735598,998.7327758,21.52413591,7.185,14.33913591
MRM,Ore,2.1,Nov,1.027,0.358735598,1039.208268,21.52413591,7.2715,14.25263591
MRM,Ore,2.1,Dec,1.07,0.358735598,1082.719423,21.52413591,7.2057,14.31843591
MRM,Ore,2.2,Jan,1.07,0.364303896,1066.170315,21.85823379,7.9099,13.94833379
MRM,Ore,2.2,Feb,1.07,0.364303896,1066.170315,21.85823379,8.3314,13.52683379
MRM,Ore,2.2,Mar,1.027,0.364303896,1023.324218,21.85823379,7.9672,13.89103379
MRM,Ore,2.2,Apr,0.958,0.364303896,954.5711791,21.85823379,7.9729,13.88533379
MRM,Ore,2.2,May,0.958,0.364303896,954.5711791,21.85823379,7.5509,14.30733379
MRM,Ore,2.2,Jun,0.958,0.364303896,954.5711791,21.85823379,7.74,14.11823379
MRM,Ore,2.2,Jul,0.958,0.364303896,954.5711791,21.85823379,7.7183,14.13993379
MRM,Ore,2.2,Aug,0.958,0.364303896,954.5711791,21.85823379,7.8197,14.03853379
MRM,Ore,2.2,Sep,0.958,0.364303896,954.5711791,21.85823379,7.734,14.12423379
MRM,Ore,2.2,Oct,0.987,0.364303896,983.4673839,21.85823379,7.185,14.67323379
MRM,Ore,2.2,Nov,1.027,0.364303896,1023.324218,21.85823379,7.2715,14.58673379
MRM,Ore,2.2,Dec,1.07,0.364303896,1066.170315,21.85823379,7.2057,14.65253379
MRM,Ore,2.3,Jan,1.07,0.369705365,1050.593355,22.18232191,7.9099,14.27242191
MRM,Ore,2.3,Feb,1.07,0.369705365,1050.593355,22.18232191,8.3314,13.85092191
MRM,Ore,2.3,Mar,1.027,0.369705365,1008.373248,22.18232191,7.9672,14.21512191
MRM,Ore,2.3,Apr,0.958,0.369705365,940.6247047,22.18232191,7.9729,14.20942191
MRM,Ore,2.3,May,0.958,0.369705365,940.6247047,22.18232191,7.5509,14.63142191
MRM,Ore,2.3,Jun,0.958,0.369705365,940.6247047,22.18232191,7.74,14.44232191
MRM,Ore,2.3,Jul,0.958,0.369705365,940.6247047,22.18232191,7.7183,14.46402191
MRM,Ore,2.3,Aug,0.958,0.369705365,940.6247047,22.18232191,7.8197,14.36262191
MRM,Ore,2.3,Sep,0.958,0.369705365,940.6247047,22.18232191,7.734,14.44832191
MRM,Ore,2.3,Oct,0.987,0.369705365,969.0987302,22.18232191,7.185,14.99732191
MRM,Ore,2.3,Nov,1.027,0.369705365,1008.373248,22.18232191,7.2715,14.91082191
MRM,Ore,2.3,Dec,1.07,0.369705365,1050.593355,22.18232191,7.2057,14.97662191
MRM,Ore,2.4,Jan,1.07,0.374951943,1035.892751,22.4971166,7.9099,14.5872166
MRM,Ore,2.4,Feb,1.07,0.374951943,1035.892751,22.4971166,8.3314,14.1657166
MRM,Ore,2.4,Mar,1.027,0.374951943,994.263416,22.4971166,7.9672,14.5299166
MRM,Ore,2.4,Apr,0.958,0.374951943,927.4628554,22.4971166,7.9729,14.5242166
MRM,Ore,2.4,May,0.958,0.374951943,927.4628554,22.4971166,7.5509,14.9462166
MRM,Ore,2.4,Jun,0.958,0.374951943,927.4628554,22.4971166,7.74,14.7571166
MRM,Ore,2.4,Jul,0.958,0.374951943,927.4628554,22.4971166,7.7183,14.7788166
MRM,Ore,2.4,Aug,0.958,0.374951943,927.4628554,22.4971166,7.8197,14.6774166
MRM,Ore,2.4,Sep,0.958,0.374951943,927.4628554,22.4971166,7.734,14.7631166
MRM,Ore,2.4,Oct,0.987,0.374951943,955.5384534,22.4971166,7.185,15.3121166
MRM,Ore,2.4,Nov,1.027,0.374951943,994.263416,22.4971166,7.2715,15.2256166
MRM,Ore,2.4,Dec,1.07,0.374951943,1035.892751,22.4971166,7.2057,15.2914166
MRM,Ore,2.5,Jan,1.07,0.380054259,1021.985653,22.80325553,7.9099,14.89335553
MRM,Ore,2.5,Feb,1.07,0.380054259,1021.985653,22.80325553,8.3314,14.47185553
MRM,Ore,2.5,Mar,1.027,0.380054259,980.9152017,22.80325553,7.9672,14.83605553
MRM,Ore,2.5,Apr,0.958,0.380054259,915.011454,22.80325553,7.9729,14.83035553
MRM,Ore,2.5,May,0.958,0.380054259,915.011454,22.80325553,7.5509,15.25235553
MRM,Ore,2.5,Jun,0.958,0.380054259,915.011454,22.80325553,7.74,15.06325553
MRM,Ore,2.5,Jul,0.958,0.380054259,915.011454,22.80325553,7.7183,15.08495553
MRM,Ore,2.5,Aug,0.958,0.380054259,915.011454,22.80325553,7.8197,14.98355553
