FieldId,CurrentLocation,Dist,beaconsize,Textbox48,Textbox51
S007,JPM-266-S007,31.2,50,Yes,90.9%
S010,JPM-250-S010,58.2,100,Yes,79.4%
S016,JPM-251-S016,58.0,69,Yes,70.0%
S2504,ST_CR_LIVEPILE,34.4,0,Yes,NaN

DumpLoc,Dist2,Beaconsize2,AutoArriveOn2,ManualArrive2,NOGPS2,AutoArrive2,TotalArrive2
CR1_JPM,24,Polygon,Yes,24,0,80,76.9%
DU_DUMP4W_SLOP,76,Polygon,Yes,0,8,1,11.1%
DU_REJECTS_RMP,330,Circular Beacon 38 m,Yes,0,6,0,0.0%

TruckOperatorName,AutoArrive,ManualNoGPS,ManualEarly,Textbox103,Textbox99,Textbox100,Textbox101,Textbox104

Truck,WrongArrival,ExpectedArrival,Count

ArriveType2,Textbox136,SecondsEarly2,QueueTime2,SpotTime2,LoadingTime2
AUTOARRIVE,6,0,17,60,186
MANUAL EARLY,1,13,192,74,289
No GPS,79,0,90,68,214

